Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Product Management,Chrome 121.0.0.0,,,12-02-2024 11:14:17,12-02-2024 11:23:10,"8m - 52,661s",FAILED
,,,,,,,
Test Cases/Search Product,Chrome 121.0.0.0,,,12-02-2024 11:14:17,12-02-2024 11:14:37,"19,560s",PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:14:18,12-02-2024 11:14:19,"1,365s",PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 11:14:19,12-02-2024 11:14:22,"2,398s",PASSED
"click(findTestObject(""Object Repository/Search/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 11:14:22,12-02-2024 11:14:26,"4,426s",PASSED
"setText(findTestObject(""Object Repository/Search/Page_Advantage Shopping/input_OR_username""), ""dika12"")",Chrome 121.0.0.0,,,12-02-2024 11:14:26,12-02-2024 11:14:27,"0,937s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Search/Page_Advantage Shopping/input_Username_password""), ""fXA3uZeumTE="")",Chrome 121.0.0.0,,,12-02-2024 11:14:27,12-02-2024 11:14:28,"1,117s",PASSED
"click(findTestObject(""Object Repository/Search/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,12-02-2024 11:14:28,12-02-2024 11:14:29,"0,523s",PASSED
search = Pencarian,Chrome 121.0.0.0,,,12-02-2024 11:14:29,12-02-2024 11:14:29,"0,001s",PASSED
switch (search),Chrome 121.0.0.0,,,12-02-2024 11:14:29,12-02-2024 11:14:37,"8,462s",PASSED
,,,,,,,
Test Cases/Search Product,Chrome 121.0.0.0,,,12-02-2024 11:14:37,12-02-2024 11:15:38,"1m - 1,121s",PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:14:37,12-02-2024 11:14:38,"0,803s",PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 11:14:38,12-02-2024 11:14:41,"2,878s",PASSED
"click(findTestObject(""Object Repository/Search/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 11:14:41,12-02-2024 11:14:46,"5,666s",PASSED
"setText(findTestObject(""Object Repository/Search/Page_Advantage Shopping/input_OR_username""), ""dika12"")",Chrome 121.0.0.0,,,12-02-2024 11:14:46,12-02-2024 11:14:47,"0,897s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Search/Page_Advantage Shopping/input_Username_password""), ""fXA3uZeumTE="")",Chrome 121.0.0.0,,,12-02-2024 11:14:47,12-02-2024 11:14:48,"1,070s",PASSED
"click(findTestObject(""Object Repository/Search/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,12-02-2024 11:14:48,12-02-2024 11:14:49,"0,513s",PASSED
search = Pencarian,Chrome 121.0.0.0,,,12-02-2024 11:14:49,12-02-2024 11:14:49,"0,000s",PASSED
switch (search),Chrome 121.0.0.0,,,12-02-2024 11:14:49,12-02-2024 11:15:38,"49,271s",PASSED
,,,,,,,
Test Cases/Search Product,Chrome 121.0.0.0,,,12-02-2024 11:15:38,12-02-2024 11:16:03,"25,281s",PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:15:38,12-02-2024 11:15:39,"0,770s",PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 11:15:39,12-02-2024 11:15:42,"2,799s",PASSED
"click(findTestObject(""Object Repository/Search/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 11:15:42,12-02-2024 11:15:47,"5,646s",PASSED
"setText(findTestObject(""Object Repository/Search/Page_Advantage Shopping/input_OR_username""), ""dika12"")",Chrome 121.0.0.0,,,12-02-2024 11:15:47,12-02-2024 11:15:48,"0,885s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Search/Page_Advantage Shopping/input_Username_password""), ""fXA3uZeumTE="")",Chrome 121.0.0.0,,,12-02-2024 11:15:48,12-02-2024 11:15:49,"1,076s",PASSED
"click(findTestObject(""Object Repository/Search/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,12-02-2024 11:15:49,12-02-2024 11:15:50,"0,508s",PASSED
search = Pencarian,Chrome 121.0.0.0,,,12-02-2024 11:15:50,12-02-2024 11:15:50,"0,000s",PASSED
switch (search),Chrome 121.0.0.0,,,12-02-2024 11:15:50,12-02-2024 11:16:03,"13,582s",PASSED
,,,,,,,
Test Cases/Add product,Chrome 121.0.0.0,,,12-02-2024 11:19:56,12-02-2024 11:21:14,"1m - 17,477s",FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 11:19:56,12-02-2024 11:19:57,"0,830s",PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 11:19:57,12-02-2024 11:20:00,"2,643s",PASSED
"click(findTestObject(""Object Repository/Add chart/Page_Advantage Shopping/a_My account                        My orde_124641""))",Chrome 121.0.0.0,,,12-02-2024 11:20:00,12-02-2024 11:20:04,"4,165s",PASSED
"setText(findTestObject(""Object Repository/Add chart/Page_Advantage Shopping/input_OR_username""), ""dika12"")",Chrome 121.0.0.0,,,12-02-2024 11:20:04,12-02-2024 11:20:05,"0,877s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Add chart/Page_Advantage Shopping/input_Username_password""), ""fXA3uZeumTE="")",Chrome 121.0.0.0,,,12-02-2024 11:20:05,12-02-2024 11:20:06,"1,061s",PASSED
"sendKeys(findTestObject(""Object Repository/Add chart/Page_Advantage Shopping/input_Username_password""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 11:20:06,12-02-2024 11:20:06,"0,489s",PASSED
"click(findTestObject(""Object Repository/Add chart/Page_Advantage Shopping/div_TABLETS                        Shop Now""))",Chrome 121.0.0.0,,,12-02-2024 11:20:06,12-02-2024 11:20:10,"3,238s",PASSED
"click(findTestObject(""Object Repository/Add chart/Page_Advantage Shopping/path""))",Chrome 121.0.0.0,,,12-02-2024 11:20:10,12-02-2024 11:21:14,"1m - 4,161s",FAILED
,,,,,,,
Test Cases/Check Chart,Chrome 121.0.0.0,,,12-02-2024 11:21:14,12-02-2024 11:22:16,"1m - 2,473s",PASSED
